[ACCOUNT]
character-username = Izzy
character-password = urnan
character-lastvote = Never
character-playtime = 1457796025068

[CHARACTER]
character-height = 0
starter = 1
character-posx = 1804
character-posy = 3786
character-rights = 3
character-rank = 1
slayer-task = none
slayer-amount = 0
defender-drop = 8845

crystal-bow-shots = 0
skull-timer = -1
magic-book = 0
brother-info = 0	0
brother-info = 1	0
brother-info = 2	0
brother-info = 3	0
brother-info = 4	0
brother-info = 5	0
special-amount = 10.0
selected-coffin = 0
barrows-killcount = 0
teleblock-length = 0
pc-points = 0
gd-slot = 0
d-points = 0.0
w-points = 0
agpoints = 0
chat-toggle = true
summonId = 0
magePoints = 0
autoRet = 1
barrowskillcount = 0
flagged = false
wave = 0
ep = 0
gwkc = 0
jail = 0
cl4n = ownxile
brightness = 4
fightMode = 2
void = 0	0	0	0	0
kills = 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
pets = 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

[QUESTS]
qo = 0
quest = 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

[EQUIPMENT]
character-equip = 0	11864	1	
character-equip = 1	6570	1	
character-equip = 2	6585	1	
character-equip = 3	12006	1	
character-equip = 4	10551	1	
character-equip = 5	12954	1	
character-equip = 6	-1	0	
character-equip = 7	4722	1	
character-equip = 8	-1	0	
character-equip = 9	-1	1	
character-equip = 10	11840	1	
character-equip = 11	-1	0	
character-equip = 12	-1	1	
character-equip = 13	-1	0	

[LOOK]
character-look = 0	1
character-look = 1	46
character-look = 2	56
character-look = 3	61
character-look = 4	67
character-look = 5	70
character-look = 6	79
character-look = 7	-1
character-look = 8	0
character-look = 9	2
character-look = 10	3
character-look = 11	0
character-look = 12	6

[SKILLS]
character-skill = 0	99	13346436
character-skill = 1	99	13034436
character-skill = 2	99	16596317
character-skill = 3	99	14221077
character-skill = 4	99	13034436
character-skill = 5	0	13035936
character-skill = 6	99	13034436
character-skill = 7	99	13034436
character-skill = 8	99	13035686
character-skill = 9	99	13034436
character-skill = 10	99	13034436
character-skill = 11	99	13034436
character-skill = 12	99	13034436
character-skill = 13	99	13034436
character-skill = 14	99	13034436
character-skill = 15	99	13036161
character-skill = 16	99	13034436
character-skill = 17	45	66000
character-skill = 18	99	13034436
character-skill = 19	99	13034436
character-skill = 20	99	13034436
character-skill = 21	99	13034436
character-skill = 22	99	13034436
character-skill = 23	1	0
character-skill = 24	1	0

[ITEMS]
character-item = 0	1713	1
character-item = 1	11119	1
character-item = 2	953	1
character-item = 3	3854	1
character-item = 5	11867	1
character-item = 7	300	93
character-item = 8	386	1
character-item = 9	386	1
character-item = 10	386	1
character-item = 11	386	1
character-item = 12	386	1
character-item = 13	386	1
character-item = 14	386	1
character-item = 15	386	1
character-item = 16	386	1
character-item = 17	386	1
character-item = 18	386	1
character-item = 19	386	1
character-item = 27	13248	1

[BANK]
character-bank = 0	10587	6
character-bank = 1	556	800
character-bank = 2	9706	1
character-bank = 3	9704	1
character-bank = 4	9705	1
character-bank = 5	158	10
character-bank = 6	146	10
character-bank = 7	3025	5
character-bank = 8	386	72
character-bank = 9	4588	3
character-bank = 10	862	5
character-bank = 11	1705	5
character-bank = 12	11119	5
character-bank = 13	4678	1
character-bank = 14	1682	1
character-bank = 15	1701	1
character-bank = 16	1608	24
character-bank = 17	1618	1
character-bank = 18	1756	1
character-bank = 19	2	2
character-bank = 20	3	10083
character-bank = 21	4	2
character-bank = 22	5	1
character-bank = 23	6	3
character-bank = 24	2662	1
character-bank = 25	7	2
character-bank = 26	2676	2
character-bank = 27	3061	1
character-bank = 28	8010	74
character-bank = 29	15	2
character-bank = 30	2504	2
